date,tmax,tmin,prec,source,jd,updated_at
2025-09-01,,,0.0,forecast,244,2025-09-01 16:07:47.732986-03:00
2025-09-02,,,0.0,forecast,245,2025-09-02 06:28:15.044442-03:00
2025-09-03,,,0.0,forecast,246,2025-09-03 06:26:32.879806-03:00
2025-09-04,9.0,-4.0,0.0,forecast,247,2025-09-04 11:52:51.843254-03:00
2025-09-05,11.0,-4.0,0.0,forecast,248,2025-09-05 09:21:56.504360-03:00
2025-09-06,15.0,-2.0,0.0,forecast,249,2025-09-06 09:19:27.485288-03:00
2025-09-07,15.0,1.0,0.0,forecast,250,2025-09-07 09:20:11.153634-03:00
2025-09-08,19.0,2.0,0.0,forecast,251,2025-09-08 09:24:18.484091-03:00
2025-09-09,20.0,2.0,0.0,forecast,252,2025-09-09 09:24:38.877934-03:00
2025-09-10,20.0,6.0,0.8,forecast,253,2025-09-10 09:22:20.545103-03:00
2025-09-11,20.0,3.0,0.0,forecast,254,2025-09-11 09:21:58.749566-03:00
2025-09-12,22.0,6.0,0.0,forecast,255,2025-09-12 09:22:05.582414-03:00
2025-09-13,20.0,7.0,0.0,forecast,256,2025-09-13 09:19:52.320615-03:00
2025-09-14,21.0,4.0,0.0,forecast,257,2025-09-13 09:19:52.320615-03:00
2025-09-15,24.0,6.0,0.0,forecast,258,2025-09-13 09:19:52.320615-03:00
2025-09-16,24.0,8.0,0.0,forecast,259,2025-09-13 09:19:52.320615-03:00
2025-09-17,25.0,10.0,0.3,forecast,260,2025-09-13 09:19:52.320615-03:00
2025-09-18,20.0,11.0,4.5,forecast,261,2025-09-13 09:19:52.320615-03:00
2025-09-19,19.0,9.0,11.4,forecast,262,2025-09-13 09:19:52.320615-03:00
2025-09-20,19.0,4.0,0.0,forecast,263,2025-09-13 09:19:52.320615-03:00
